word,class_a,class_b
pjyiebjrm,0.000008069657281655247,0.000008069657281655247
jumping,0.000008069657281655247,0.000008069657281655247
writer,0.000008069657281655247,0.000008069657281655247
otpxbu,0.000008069657281655247,0.000008069657281655247
they,0.0019367177475972596,0.0019367177475972596
bottles,0.000008069657281655247,0.000008069657281655247
chega,0.000008069657281655247,0.000008069657281655247
aircraft,0.00003227862912662099,0.00003227862912662099
commercialized,0.00003227862912662099,0.00003227862912662099
handles,0.000024208971844965745,0.000024208971844965745
qeqif,0.000008069657281655247,0.000008069657281655247
mythbusters,0.000008069657281655247,0.000008069657281655247
ymcb,0.000008069657281655247,0.000008069657281655247
fyriz,0.000008069657281655247,0.000008069657281655247
bam,0.000016139314563310495,0.000016139314563310495
mechanical,0.000008069657281655247,0.000008069657281655247
machines,0.00012104485922482873,0.00012104485922482873
pumps,0.000008069657281655247,0.000008069657281655247
wld,0.000008069657281655247,0.000008069657281655247
thinner,0.000008069657281655247,0.000008069657281655247
above,0.000016139314563310495,0.000016139314563310495
pm,0.00006455725825324198,0.00006455725825324198
wasteful,0.000008069657281655247,0.000008069657281655247
abt,0.00004841794368993149,0.00004841794368993149
geeked,0.000016139314563310495,0.000016139314563310495
moocs,0.000008069657281655247,0.000008069657281655247
fung,0.000008069657281655247,0.000008069657281655247
pmot,0.000008069657281655247,0.000008069657281655247
isolation,0.000008069657281655247,0.000008069657281655247
jy,0.00003227862912662099,0.00003227862912662099
theatlantic,0.000056487600971586734,0.000056487600971586734
vmvtgzw,0.000008069657281655247,0.000008069657281655247
fpnl,0.000008069657281655247,0.000008069657281655247
tdmpqic,0.000008069657281655247,0.000008069657281655247
rjxllzv,0.000008069657281655247,0.000008069657281655247
netherlands,0.000016139314563310495,0.000016139314563310495
freight,0.000008069657281655247,0.000008069657281655247
salesman,0.000008069657281655247,0.000008069657281655247
brain,0.000056487600971586734,0.000056487600971586734
iphone,0.00008069657281655248,0.00008069657281655248
baj,0.000008069657281655247,0.000008069657281655247
bigg,0.000008069657281655247,0.000008069657281655247
ztku,0.000008069657281655247,0.000008069657281655247
agenda,0.000016139314563310495,0.000016139314563310495
jkisxl,0.000008069657281655247,0.000008069657281655247
trusted,0.000008069657281655247,0.000008069657281655247
amd,0.000008069657281655247,0.000008069657281655247
luck,0.000024208971844965745,0.000024208971844965745
nside,0.000008069657281655247,0.000008069657281655247
bet,0.00016139314563310496,0.00016139314563310496
attending,0.000008069657281655247,0.000008069657281655247
walkability,0.000008069657281655247,0.000008069657281655247
mxl,0,0
gnfkx,0.000008069657281655247,0.000008069657281655247
accepted,0.000016139314563310495,0.000016139314563310495
